37878;581799;华硕(ASUS) 飞行堡垒四代FX63VM7700  15.6英寸电竞屏游戏笔记本电脑(i7-7700HQ 16G 128GSSD+1T GTX1060 6G);8799.00
34960;580262;戴尔DELL G3 17.3英寸游戏笔记本电脑(i7-8750H 8G 128GSSD+1T GTX1060 6G独显 背光键盘 IPS)黑;8299.00
7651;511470;联想ThinkPad E470(20H1001TCD) 14英寸笔记本电脑 i5-7200U/8G/256GSSD/GT920MX 2G独显;4888.00
3551;579473;神舟(HASEE)战神Z7-KP7GC GTX1060  6G独显  15.6英寸游戏笔记本电脑(i7-8750H 8G 1T+128G SSD 1080P)IPS;6488.00
10228;539497;联想ThinkPad T470(20HDA004CD) 14英寸笔记本电脑 i5-7200U/8G/128GSSD+500G/GT940MX 2G独显;7599.00
10643;538266;联想ThinkPad T470(20HD002TCD) 14英寸笔记本电脑 i5-7200U/8G/1T+128GSSD/GT940MX 2G独显;8099.00
71996;554374;联想 小新潮5000 15.6英寸笔记本电脑 i5-7200U/4G/1T+128GSSD/R5 2G独显;4199.00
9237;580263;戴尔DELL G3 15.6英寸游戏笔记本电脑(i7-8750H 8G 128GSSD+1T GTX1060 6G独显 背光键盘 IPS)黑;7499.00
15381;580268;戴尔DELL G3 15.6英寸游戏笔记本电脑(i7-8750H 8G 128GSSD+1T GTX1050Ti 4G独显 IPS)黑;6499.00
12478;580264;戴尔DELL G3 15PR-7645  15.6英寸游戏笔记本电脑(i5-8300H 8G 128GSSD+1T GTX1050Ti 4G独显 IPS)黑;5399.00
19107;580400;联想(Lenovo)扬天V310 14英寸商务笔记本电脑(i7-7500U 8G 1T+128G固态 AMD R5 2G独显 win10)银色;5649.00
55529;579015;联想(ThinkPad) E470(20H1A0A7CD)14英寸笔记本电脑(i5-7200U 8G 1T 2G独显 Win10)黑色;4999.00
1911;580643;神舟(HASEE)战神Z7-KP7SC GTX1060 6G独显 15.6英寸游戏笔记本电脑(I7-8750H 8G 1T+256G SSD 1080P)IPS;6588.00
59359;569159;华硕 FL8000UN8550 15.6英寸游戏笔记本电脑i7-8550/8G/1T+128G/4G独显;5299.00
11771;547409;联想ThinkPad X1(20FBA05ECD) 14英寸笔记本电脑 i5-6200U/8G/256GSSD/集成;7799.00
11730;578350;ThinkPad X1 Carbon 2018(20KH000JCD)14英寸轻薄笔记本电脑(i7-8550U 8G 512GSSD集显);13799.00
11906;578352;ThinkPad X1 Carbon 2018(20KH0009CD)14英寸轻薄笔记本电脑(i5-8250U 8G 256GSSD集显);9495.00
11906;578351;ThinkPad X1 Carbon 2018(20KH000HCD)14英寸轻薄笔记本电脑 (i7-8550U 8G 256GSSD集显);11318.00
11909;578353;ThinkPad X1 Carbon 2018（20KH0025CD）14英寸轻薄笔记本电脑（i5-8250U 8G 256GSSD集显）;9199.00
19148;580392;联想(Lenovo)扬天V310 14英寸商务笔记本电脑(i5-7200U 4G 500G+128G固态 R5 2G独显 win10)银;5099.00
54636;580261;戴尔DELL成就5000 5370-1505  13.3英寸商务办公超轻薄便携笔记本电脑(i5-8250U 4G 256GSSD FHD IPS);4298.00
19150;548399;联想 扬天商用 V110-15 15.6英寸笔记本电脑 i5-7200U/8G/1T/R5 2G独显;3799.00
19149;492413;联想 扬天商用 V110-15 15.6英寸笔记本电脑 I5-6200U/4G/500G/R5 2G独显;3399.00
19137;580018;联想(Lenovo)扬天V110 15.6英寸商务笔记本电脑(i5-7200U 4G 256G AMD R5 2G独显 win10)黑;3899.00
37896;576506;戴尔 灵越5280-R1705S 12.3英寸二合一平板电脑i7-7Y75/8G/256GSSD/集显;5999.00
11719;578391;ThinkPad X1 Carbon 2018(20KHA004CD)14英寸轻薄笔记本电脑(i7-8550U 16G 512GSSD 集显);17799.00
11719;578392;ThinkPad X1 Carbon 2018(20KHA003CD)14英寸轻薄笔记本电脑(i7-8550U 16G 512GSSD 集显);17799.00
3329;573010;ThinkPad X1 Carbon(20HRA03LCD)14英寸轻薄笔记本电脑 i5-7200U/8G/256GSSD/集显;10899.00
41576;491206;联想 小新Air 12.2英寸笔记本电脑 M3-6Y30/4G/128GSSD/集显;2999.00
10033;578367;ThinkPad T480(20L5001YCD)14英寸轻薄笔记本电脑(i5-8250U 8G 128GSSD+1T MX150 2G独显);8899.00
8327;554658;苹果(Apple) MacBook MNYN2CH/A 12英寸笔记本电脑 I5处理器/8G/512GSSD/集显;10875.00
7388;554655;苹果(Apple) MacBook MNYL2CH/A 12英寸笔记本电脑 I5处理器/8G/512GSSD/集显;10863.00
14948;566993;戴尔 灵越7570-R1545S 15.6英寸轻薄笔记本电脑 i5-8250U/4G/1T/GT940MX 4G独显;5399.00
37898;577139;戴尔 灵越飞匣 3467-5528B 14.0英寸笔记本电脑 i5-7200U/4G/500G/R5 2G独显;3399.00
